datetime,season,acd
10/28/08,2009.0,371.5850109666667
10/29/08,2009.0,724.1845349570834
10/30/08,2009.0,1279.3231997999999
10/31/08,2009.0,1271.2612586457144
11/1/08,2009.0,1612.0402539917854
11/2/08,2009.0,1568.134289135
11/3/08,2009.0,2284.9338832666667
11/4/08,2009.0,2645.8505343166667
11/5/08,2009.0,2834.0361291080776
11/6/08,2009.0,2599.732620475
11/7/08,2009.0,3348.0866671046147
11/8/08,2009.0,3536.215661455
11/9/08,2009.0,3531.534285170625
11/10/08,2009.0,4219.122833424
11/11/08,2009.0,4555.212002076876
11/12/08,2009.0,4595.271716870454
11/13/08,2009.0,5176.969385921667
11/14/08,2009.0,5319.156677587085
11/15/08,2009.0,5136.331440791249
11/16/08,2009.0,6348.305558781668
11/17/08,2009.0,6849.149039466666
11/18/08,2009.0,6060.541418472001
11/19/08,2009.0,7259.003994976001
11/20/08,2009.0,7374.3382829425
11/21/08,2009.0,7089.19076586846
11/22/08,2009.0,6931.909928256667
11/23/08,2009.0,8240.88316912
11/24/08,2009.0,8610.863387475
11/25/08,2009.0,7480.439185269
11/26/08,2009.0,8848.019463173847
11/27/08,2009.0,8495.380762725
11/28/08,2009.0,9439.792413545905
11/29/08,2009.0,9565.839778276362
11/30/08,2009.0,10129.297477733999
12/1/08,2009.0,9951.01807422
12/2/08,2009.0,10495.18031700375
12/3/08,2009.0,10056.304524612726
12/4/08,2009.0,14004.133493415
12/5/08,2009.0,10141.862121952725
12/6/08,2009.0,11850.5849017945
12/7/08,2009.0,11442.338849202502
12/8/08,2009.0,12078.276453846249
12/9/08,2009.0,12290.207516953891
12/10/08,2009.0,12200.593096717223
12/11/08,2009.0,12028.208733278334
12/12/08,2009.0,13206.756785577272
12/13/08,2009.0,12792.459083067
12/14/08,2009.0,14209.70086656875
12/15/08,2009.0,13930.962734194443
12/16/08,2009.0,13974.488063725837
12/17/08,2009.0,14178.544652238888
12/18/08,2009.0,18156.836900565
12/19/08,2009.0,14222.273939857914
12/20/08,2009.0,15938.974993801
12/21/08,2009.0,13309.77595824
12/22/08,2009.0,17100.08775020917
12/23/08,2009.0,15611.285178627919
12/25/08,2009.0,16521.895407096
12/26/08,2009.0,16695.133115800498
12/27/08,2009.0,16763.452733370003
12/28/08,2009.0,17807.915495878333
12/29/08,2009.0,17588.150911426874
12/30/08,2009.0,17413.193442903335
12/31/08,2009.0,18979.2901713725
1/2/09,2009.0,18711.666946573998
1/3/09,2009.0,19557.658904837856
1/4/09,2009.0,18031.9606856175
1/5/09,2009.0,21907.119781882997
1/6/09,2009.0,19088.93113602
1/7/09,2009.0,19834.613508399583
1/8/09,2009.0,21478.110875827497
1/9/09,2009.0,19877.90133744292
1/10/09,2009.0,20920.89019653833
1/11/09,2009.0,21871.639718180715
1/12/09,2009.0,20710.078615129172
1/13/09,2009.0,21346.196189055718
1/14/09,2009.0,22167.41949378909
1/15/09,2009.0,21536.152028131666
1/16/09,2009.0,22077.640527105
1/17/09,2009.0,23353.870968490563
1/18/09,2009.0,23752.998174300003
1/19/09,2009.0,22807.461232616257
1/20/09,2009.0,24410.525272121253
1/21/09,2009.0,23540.85474675
1/22/09,2009.0,23069.69591378
1/23/09,2009.0,23648.915864089
1/24/09,2009.0,24731.88129595833
1/25/09,2009.0,24568.735228633897
1/26/09,2009.0,25302.234823507857
1/27/09,2009.0,24331.059258245998
1/28/09,2009.0,25434.869020621252
1/29/09,2009.0,27754.871864290002
1/30/09,2009.0,25943.25120615819
1/31/09,2009.0,26672.991889121
2/1/09,2009.0,27194.3335824975
2/2/09,2009.0,27875.257774460635
2/3/09,2009.0,27246.291651751668
2/4/09,2009.0,27423.53086054092
2/5/09,2009.0,26276.069337513338
2/6/09,2009.0,27525.135015890002
2/7/09,2009.0,28196.62921422857
2/8/09,2009.0,28939.98687401
2/9/09,2009.0,27128.829653218752
2/10/09,2009.0,29376.542840367223
2/11/09,2009.0,28685.96140281791
2/12/09,2009.0,32488.376014103338
2/17/09,2009.0,29169.989542738494
2/18/09,2009.0,30617.327163060007
2/19/09,2009.0,30887.14987094
2/20/09,2009.0,30653.851024723182
2/21/09,2009.0,32765.494201030007
2/22/09,2009.0,30773.12074318
2/23/09,2009.0,31756.159114395836
2/24/09,2009.0,31888.70272848313
2/25/09,2009.0,32187.891261110908
2/26/09,2009.0,30607.57409624001
2/27/09,2009.0,32976.56251341577
2/28/09,2009.0,32082.760997744997
3/1/09,2009.0,33806.58016250833
3/2/09,2009.0,33373.90100285301
3/3/09,2009.0,34002.8616877675
